fault_type,component,symptom,resolution,severity,text
user error,gnomebaker,user confusion about the name 'gnomebaker',clarify the name or provide a more detailed description of gnomebaker's features and benefits,low,"I think gnomebaker looks promising, I know I would be very happy if I could just stick with 'just' gnome"
user error,gnomebaker,user confusion,clarify the name or function of gnomebaker,low,"I think gnomebaker looks promising, I know I would be very happy if I could just stick with 'just' gnome"
software update,linux distribution,system instability or unexpected behavior after dist-upgrade,perform a clean installation or rollback to a previous version,low,I read that doing a dist-upgrade is not always a good thing.. that true?
software update issue,package manager (dist-upgrade),unclear or misleading information about the dist-upgrade process,consult the official documentation or community forums for detailed information about the dist-upgrade process and its potential risks,low,I read that doing a dist-upgrade is not always a good thing.. that true?
software issue,synaptic package manager and apt,"different solutions to problems, often causing issues","check for updates, ensure correct package versions, use apt instead of synaptic when possible",low,I also noticed that synaptic and apt give two different solutions to things.. most of the time when something goes bork it was synaptic that did it
software issue,synaptic package manager and apt,"different solutions to problems, often leading to system instability","check for updates, ensure all packages are up to date, and consider using apt instead of synaptic for certain tasks",low,I also noticed that synaptic and apt give two different solutions to things.. most of the time when something goes bork it was synaptic that did it
usererror,,user is confused or misinterpreting the system,clarify the purpose or functionality of the system to the user,low,I take it that that isn't for me :P
usererror,,user is confused or misinterpreting the system,clarify the purpose or functionality of the system to the user,low,I take it that that isn't for me :P
communication,speaker,unable to hear audio,check if the speaker is turned on and if the volume is not muted,low,I heard .. I wish I could have been there
communication,speaker,unable to hear audio,check if the speaker is turned on and if the audio output is set to the correct device,low,I heard .. I wish I could have been there
communication,conference,no technical issues reported,no action required,low,we had a great debian/ubuntu women bof yesterday
display,monitor,no display output,"check power supply, ensure cable connections",low,should have minutes out soon
communication,conference,no technical issues reported,no action required,low,we had a great debian/ubuntu women bof yesterday
display,monitor,no display output,"check power supply, ensure cable connections",low,should have minutes out soon
user error,,user unaware of debian women and linuxchix communities,educate the user about debian women and linuxchix communities,low,I am glad that there is 'more' out there.. I never heard of debian women or linuxchix before
,,,,low,whoa! you should join up :)
,,,,low,whoa! you should join up :)
user error,,user unaware of debian women and linuxchix communities,educate the user about debian women and linuxchix communities,low,I am glad that there is 'more' out there.. I never heard of debian women or linuxchix before
,,,,low,I am/did!
communication,wiki page,no plans for ubuntu,start a wiki page,low,no plans so far for ubuntu - perhaps we should start a wiki page
communication,communication channel,misunderstanding or miscommunication,clarification,low,yes.. and whatever you are planning... you can count me in
,,,,low,we should have something cool for ubuntu too :)
,,,,low,we should have something cool for ubuntu too :)
,,,,low,I am/did!
communication,wiki page,no plans for ubuntu,start a wiki page,low,no plans so far for ubuntu - perhaps we should start a wiki page
communication,communication channel,misunderstanding or miscommunication,clarification,low,yes.. and whatever you are planning... you can count me in
communication,wiki,missing or incorrect links,add missing links to nix pages for women,low,it might be a good idea to put on that wiki links to nix pages for women
communication,wiki,incomplete or unclear information,provide additional links to relevant pages,low,it might be a good idea to put on that wiki links to nix pages for women
network_configuration,ssh_server,ssh service only listens on tcp6 (ipv6),edit the ssh configuration file (usually /etc/ssh/sshd_config) and ensure the line 'listenaddress *' or 'listenaddress 0.0.0.0' is uncommented and not set to 'listenaddress ::'. restart the ssh service afterwards.,low,why is ssh only listening on tcp6?
network_configuration,ssh_server,ssh service only listens on tcp6 (ipv6),check the ssh configuration file (usually /etc/ssh/sshd_config) and ensure the line 'addressfamily all' or 'addressfamily any' is not commented out. restart the ssh service after making changes.,low,why is ssh only listening on tcp6?
,,incomprehensible input,interpret the input as a command or request,low,huh?
network_configuration,ssh_service,ssh service not listening on all available protocols,ensure ssh service is configured to listen on both tcp and tcp6 (ipv4 and ipv6). check the ssh service configuration file (usually /etc/ssh/sshd_config) and make sure the listenaddress is set to 0.0.0.0 or :: (all interfaces). restart the ssh service after making changes.,low,"sorry, netstat -tupan says ssh is listening on 'tcp6' is that ipv6 only?"
syntax_error,code,incorrect grammar or syntax,check the grammar and syntax of the code,low,"no, that includes IPv4"
network_configuration,ssh_service,ssh service not listening on all available protocols,ensure ssh service is configured to listen on both tcp and tcp6 (ipv4 and ipv6). check the ssh service configuration file (usually /etc/ssh/sshd_config) and make sure the listenaddress is set to 0.0.0.0 or :: (all interfaces). restart the ssh service after making changes.,low,"sorry, netstat -tupan says ssh is listening on 'tcp6' is that ipv6 only?"
syntax_error,code,incorrect grammar or syntax,check the grammar and syntax of the code,low,"no, that includes IPv4"
,,incomprehensible input,interpret the input as a command or request,low,huh?
software,ssh-server,ssh connection to localhost fails,install openssh-server and try 'ssh localhost' again,low,do you have openssh-server installed? if so can you real quick 'ssh localhost' let me know if it works? if you are running unstable...
software,ssh-server,ssh connection to localhost fails,install openssh-server and try 'ssh localhost' again,low,do you have openssh-server installed? if so can you real quick 'ssh localhost' let me know if it works? if you are running unstable...
,,,no action required,low,it's fine.
,,,no action required,low,it's fine.
,,,,,on the wiki.
,,,,low,roger that :)
,,,,low,roger that :)
,,,,,on the wiki.
,,any more broken than normal,no further information provided,low,any more broken than normal? no.
,,any more broken than normal,no further information provided,low,any more broken than normal? no.
hardware,usb mp3 player,"hangs, latest isn't in sid","check if the latest version is installed, or try a fresh installation",low,"can't get my usb mp3 player to fire up with gnomad2, it just hangs, and latest isn't in SID yet, which i need as it's a new player"
hardware,usb mp3 player,"hangs, latest isn't in sid","check if the latest version is installed, or try a fresh installation",low,"can't get my usb mp3 player to fire up with gnomad2, it just hangs, and latest isn't in SID yet, which i need as it's a new player"
,build system,unable to create a distribution package,use 'dpkg-buildpackage' or 'dpkg-source -b' depending on the package format and requirements,low,what is the command to make a dep out of a source package?  'make dist' ?
,,,,low,dep/deb
,,,,low,dep/deb
,build system,unable to create a distribution package,use 'dpkg-buildpackage' or 'dpkg-source -b' depending on the package format and requirements,low,what is the command to make a dep out of a source package?  'make dist' ?
syntax_error,code_parser,"runtime error, package loading failure","check the syntax of the problematic packages, ensure all required dependencies are installed",low,"no, it's more complicated than that for some packages."
user_error,,user is unable to determine the application for which the action is intended,clarify the purpose of the action to the user,low,for what application are you attempting this?
user_interface,command_line_interface,user unable to determine intended application,inform user that the message is a prompt asking for the application name or function,low,for what application are you attempting this?
syntax_error,code_parser,"runtime error, package loading failure","check the syntax of the problematic packages, ensure all required dependencies are installed",low,"no, it's more complicated than that for some packages."
missing,debian subdir,missing debian subdir,create debian subdir,low,there is 'debian' subdir
,libnjb,undefined symptom,undefined resolution,low,libnjb
missing,debian subdir,missing debian subdir,create debian subdir,low,there is 'debian' subdir
,libnjb,undefined symptom,undefined resolution,low,libnjb
query,x.org development packages,unable to identify specific package,use package manager search feature to find the package,low,which x.org devel package?
query,x.org development packages,unable to identify specific package,use package manager search feature to find the package,low,which x.org devel package?
missing_package,software,unable to find package xorg-devel,install xorg-devel using package manager,low,um there is no xorg-devel ?
missing_package,software,unable to find package xorg-devel,install xorg-devel using package manager,low,um there is no xorg-devel ?
,,,,,what issues?
,,,,,what issues?
soundcard selection issue,soundcard,"sound issues, unable to select the right soundcard","check soundcard drivers, ensure correct installation",low,"like if two soundcards doesn't select the right one or something, i just remember having sound issues upon initial install of warty"
soundcard selection issue,soundcard,sound issues upon initial install,"check sound settings, ensure correct soundcard is selected",low,"like if two soundcards doesn't select the right one or something, i just remember having sound issues upon initial install of warty"
communication,text messaging,misunderstanding,clarify the amount of items to be returned,low,but i think gave my neighbor too much going to take some back for school
communication,neighbor,misunderstood instructions,clarify the quantity and recipients,low,"i gave my neighbor a bunch, he knows all the kids in town, and going to hand em out at school :D"
communication,text messaging,misunderstanding,clarify the amount of items to be returned,low,but i think gave my neighbor too much going to take some back for school
communication,neighbor,misunderstood instructions,clarify the quantity and recipients,low,"i gave my neighbor a bunch, he knows all the kids in town, and going to hand em out at school :D"
usererror,,laptop not responding or not starting,ensure the laptop is properly plugged in and the power adapter is working. try booting the laptop in safe mode.,low,"i'll fire up laptop and check, one sec"
usererror,,laptop not responding or not starting,ensure the laptop is properly plugged in and the power adapter is working. try restarting the laptop.,low,"i'll fire up laptop and check, one sec"
,,,,low,"yep, broken, sorry about that"
,,,,low,"yep, broken, sorry about that"
package_dependencies,"libarts0, libfrididi0, libggi2, libungif4g",system instability or failure to start,update or reinstall the missing packages,low,"libarts0, libfrididi0, libggi2, libungif4g"
package_conflict,mplayer-586,choked on packages,check for outdated or conflicting packages,low,what packages did mplayer-586 [for warty]  choke on?
package_conflict,mplayer-586,choked on packages,check for outdated or conflicting packages,low,what packages did mplayer-586 [for warty]  choke on?
package_dependencies,"libarts0, libfrididi0, libggi2, libungif4g",system instability or failure to start,update or reinstall the missing packages,low,"libarts0, libfrididi0, libggi2, libungif4g"
software upgrade/downgrade issue,,system fails to downgrade as expected,refer to the wiki for correct downgrade steps,low,attempting the downgrade as mentioned per the wiki
backporting error,packages,unable to locate the packages,wait for the backporting process to finish and follow the instructions provided,low,"I'm backporting it from hoary; if you're willing to try the packages, I'll let you know from where to grab them when it finishes."
software upgrade/downgrade issue,,system fails to downgrade successfully,refer to the wiki for correct downgrade steps,low,attempting the downgrade as mentioned per the wiki
,,,,low,"awesome, of course :)"
backporting error,packages,unable to locate the packages,wait for the backporting process to finish and follow the instructions provided,low,"I'm backporting it from hoary; if you're willing to try the packages, I'll let you know from where to grab them when it finishes."
,,,,low,"awesome, of course :)"
network,ping command,no response or delayed response,"check network connectivity, ensure ping is not blocked by firewall",low,ping
network,ping command,no response or delayed response,"check network connectivity, ensure ping is not blocked by firewall",low,ping
,,system downgrade did not resolve the issue,reverting to previous version or performing a system restore,low,the downgrade seemed to work :D
,,system downgrade did not resolve the issue,reverting to previous version or performing a system restore,low,the downgrade seemed to work :D
,,,,low,excellent.
,,,,low,excellent.
command_not_found,shell,command not found,"use 'which' or 'whereis' to find the executable, or install the missing package",low,otherwise man <shell>
system limit exceeded,shell or command interpreter,command execution failure,increase ulimit value,low,well there is an ulimit(3)
documentation,shell script,no man page for ulimit,check if ulimit is defined in the script or if it's a typo in the command,low,ulimit is an internal sh. there is no man page.
documentation,shell script,no man page for ulimit,check if ulimit is documented in other man pages or online resources,low,ulimit is an internal sh. there is no man page.
system limit exceeded,shell or command interpreter,command execution failure,increase ulimit value,low,well there is an ulimit(3)
command_not_found,shell,command not found,"use 'which' or 'whereis' to find the executable, or install the missing package",low,otherwise man <shell>
,,,,low,"yeah, just dawning on that"
,,,,low,"yeah, just dawning on that"
software,media player,issues with playback,update gmplayer or mplayer,low,"there are a few issues with gmplayer of that mplayer, /query ?"
software,media player,issues with playback,update gmplayer or mplayer to the latest version,low,"there are a few issues with gmplayer of that mplayer, /query ?"
,,,,low,have you run across any?
software,media player,inability to play certain files,update gmplayer to the latest version,low,"yes, a few with gmplayer"
,,,,,"two, actually"
,,spill,clean up the spill and check for any damage,low,spill.
,,spill,clean up the spill and check for any damage,low,spill.
,,,,,"two, actually"
software,media player,inability to play certain files,update gmplayer to the latest version,low,"yes, a few with gmplayer"
,,,,low,have you run across any?
performance issue,gmplayer,no hang,"check for updates, restart gmplayer, use alternative player",low,ok when i start gmplayer in terminal there is no hang
software,media player,gmplayer hangs for a few seconds when starting,check mplayer.conf and set default xo=xv for fullscreen,low,"(1) when gmplayer starts the rotary (hourglass) hangs for a few seconds like it's waiting for something to initialize and (2) nevermind, and issue in my mplayer.conf :) and (3) might set the default xo=xv so that when 'f' key for fullscreen, image isn't centered in middle of screen but does take up full screen?  the first is the only real issue though.  let me run gmplayer in terminal"
start-up issue,menu,system does not start from menu,check if the menu option is enabled and accessible,low,only when i start it from menu
software,media player,user unable to use the software,try a different media player,low,i don't use gmplayer really but...
software,media player,gmplayer hangs for a few seconds when starting,check mplayer.conf and set default xo=xv for fullscreen,low,"(1) when gmplayer starts the rotary (hourglass) hangs for a few seconds like it's waiting for something to initialize and (2) nevermind, and issue in my mplayer.conf :) and (3) might set the default xo=xv so that when 'f' key for fullscreen, image isn't centered in middle of screen but does take up full screen?  the first is the only real issue though.  let me run gmplayer in terminal"
start-up issue,menu,system does not start from menu,check if the menu option is enabled and accessible,low,only when i start it from menu
software,media player,user unable to use the software,try a different media player,low,i don't use gmplayer really but...
performance issue,gmplayer,no hang,"check for updates, restart gmplayer, use alternative player",low,ok when i start gmplayer in terminal there is no hang
user input error,menu entry,user unable to identify correct entry,direct user to the correct entry in the menu,low,I will take a look at the menu entry
user interaction,menu entry,user unable to access menu entry,check if the menu entry is enabled and accessible,low,I will take a look at the menu entry
syntax error,command interpreter,invalid input format,"ensure input follows the correct format (e.g., (2) or (3))",low,don't understand (2) or (3)
syntax error,command interpreter,invalid input format,"ensure input follows the correct format (e.g., (2) or (3))",low,don't understand (2) or (3)
driver_incompatibility,xv,system performance degradation,update drivers to ensure compatibility with xv,low,xv is optimised for the drivers that support it properly
,,,,low,thanks for notifying.
,x11,not mentioned,not mentioned,low,nevermind on (2) and (3) x11 is safer? nevermind on that one as well :)
software,xv,broken on some chipsets,use x11 as a safer default,low,"x11 is a safer default, because xv is broken on some chipsets"
software,xv,broken on some chipsets,use x11 as a safer default,low,"x11 is a safer default, because xv is broken on some chipsets"
,x11,not mentioned,not mentioned,low,nevermind on (2) and (3) x11 is safer? nevermind on that one as well :)
,,,,low,thanks for notifying.
driver_incompatibility,xv,system performance degradation,update drivers to ensure compatibility with xv,low,xv is optimised for the drivers that support it properly
kernel compatibility issue,kernel,system instability or unexpected behavior,downgrade to a compatible kernel version,low,think it's safe to use hoary 2.6.10 kernel in warty?
user interface,menu entry,application does not launch,ensure the application is correctly installed and the system is up to date,low,only probs can find then is when launched from menu entry
user interface,menu entry,application does not launch,check if the application is properly installed and if the menu entry points to the correct executable,low,only probs can find then is when launched from menu entry
kernel compatibility issue,kernel,system instability or unexpected behavior,downgrade to a compatible kernel version,low,think it's safe to use hoary 2.6.10 kernel in warty?
driver_conflict,nvidia and ati drivers,binary-only drivers causing issues,use warty's driver,low,"your call, though I advise you to stick with Warty's if you use the binary-only Nvidia or ATI driver."
driver_incompatibility,graphics_driver,system instability or performance issues,revert to warty's driver or use a more compatible open-source driver,low,"your call, though I advise you to stick with Warty's if you use the binary-only Nvidia or ATI driver."
,,no visible symptom reported,no specific resolution needed as no fault reported,low,"got it, thanks"
,,,,low,"got it, thanks"
application_crash,media_player,application does not start,check if the application is compatible with the current system or reinstall the previous version,low,did starting gmplayer from the menu work in a previous mplayer build?
application_crash,media_player,application does not start,check if the application is compatible with the current system or reinstall the previous version,low,did starting gmplayer from the menu work in a previous mplayer build?
missing_feature,system_manager,lack of equivalent to ntsysv on ubuntu/debian for managing init scripts,use upstart or systemd for managing init scripts on ubuntu/debian,low,know how redhat has ntsysv ncurses based app does ubuntu/debian have anything similar for handling init scripts?
missing_feature,system_manager,lack of equivalent to ntsysv on ubuntu/debian for managing init scripts,"use upstart, systemd, or alternatives like anacron for managing init scripts on ubuntu/debian",low,know how redhat has ntsysv ncurses based app does ubuntu/debian have anything similar for handling init scripts?
service management,system services,service not starting or stopping as expected,check if the service is enabled in /etc/init.d or /etc/rc.d/rc.local,low,update-rc.d
system service,system initialization,service not starting or stopping as expected,"check service status, use chkconfig or update-rc.d to manage service",low,update-rc.d
system service update failure,system service update-rc.d,system update process failing with errors,"check the update-rc.d script for errors, or revert to a previous working configuration",medium,fscking update-rc.d fscking giving me fscking headaches
system service update failure,system service update-rc.d,system hangs or errors during update,"check if the service is enabled, disable and re-enable the service, or use the update-rc.d --force option",medium,fscking update-rc.d fscking giving me fscking headaches
software malfunction,gmplayer application,menu entry malfunction,reinstall gmplayer or contact software support,low,there must be something awry with your menu entry for gmplayer. Someone else attests that it executes perfectly.
software,gmplayer,menu entry not functioning as expected,contact software support for further assistance,low,there must be something awry with your menu entry for gmplayer. Someone else attests that it executes perfectly.
software downgrade issue,operating system,system not working as expected,reverting to previous version or performing system restore,low,"you're right, sorry about that, it's probably on my end as i did an downgrade from hoary to wary, thanks, anymore testing i can do let me know, i should have mentioned that beforehand, but it works!"
software_upgrade_issue,operating_system,system not functioning as expected,reverting to previous version or performing a clean install of the operating system,low,"you're right, sorry about that, it's probably on my end as i did an downgrade from hoary to wary, thanks, anymore testing i can do let me know, i should have mentioned that beforehand, but it works!"
menu entry malfunction,gnome desktop environment,menu entry not functioning as expected,try deleting ~/.gconf and ~/.gconfd,low,how to fix the menu entry?  anything like delete ~/.gconf or?
menu entry malfunction,gnome desktop environment,menu entry not appearing or not responding,try deleting ~/.gconf and ~/.gconfd,low,how to fix the menu entry?  anything like delete ~/.gconf or?
software malfunction,gnome terminal,gnome-terminal background not set to fbsplash image,check if fbsplash is enabled and set the gnome-terminal background to fbsplash image,low,know if when hoary ships fbsplash will be enabled and if so will default gnome-terminal background be the fbsplash image file?
software malfunction,gnome terminal,gnome-terminal background not set to fbsplash image,check if fbsplash is enabled and set the gnome-terminal background to fbsplash image,low,know if when hoary ships fbsplash will be enabled and if so will default gnome-terminal background be the fbsplash image file?
,,,,low,ok thanks
,jdub,no clear indication of a specific fault,more information needed from jdub,low,"to be honest, I have no idea; jdub probably has a much clearer idea."
,,,,low,ok thanks
,jdub,no clear indication of a specific fault,more information needed from jdub,low,"to be honest, I have no idea; jdub probably has a much clearer idea."
software,web browsers,unresponsive or non-functional,restart the browser or update the software,low,"links, w3m, lynx, ..."
software,web browsers,unresponsive or non-functional,update browser or try another tool,low,"links, w3m, lynx, ..."
configuration_error,muttrc,unable to locate or access /etc/muttrc,"ensure the file exists and is accessible, check the spelling and case of the filename",low,can you dcc me /etc/Muttrc that ships with mutt?
configuration error,muttrc file,unable to locate or access /etc/muttrc,ensure the file path is correct and the file exists in /etc,low,can you dcc me /etc/Muttrc that ships with mutt?
configuration error,firestarter and networked filesystems,"system instability, frequent crashes","review and correct configuration settings, ensure compatibility",low,it was stupid firestarter and networked filesystems
configuration error,firestarter and networked filesystems,"system instability, frequent crashes","review and correct configuration settings, ensure compatibility",low,it was stupid firestarter and networked filesystems
permission_denial,system,apps not working as expected,revert to normal user mode and try again,low,"hi, i've ran a few apps under 'sudo -s' now things are messed up, is there any way to recover?"
command execution error,command line interface (cli),ambiguous or unexpected output,check the executed commands for errors or missing parameters,low,that depends entirely on what you commands you executed.
permission_denial,system,apps not working as expected,revert to normal user mode and try again,low,"hi, i've ran a few apps under 'sudo -s' now things are messed up, is there any way to recover?"
command execution error,command line interface (cli),ambiguous or unexpected output,check the executed commands for errors or missing parameters,low,that depends entirely on what you commands you executed.
,,,,low,"guarddog, lokkit, firestarter, i think is all"
,,,,low,"guarddog, lokkit, firestarter, i think is all"
system,gnome,"ls -l not responding, gnome panels messed up, nautilus not starting","check system logs for errors, restart gnome session, update or reinstall gnome packages",medium,now ls -l doesn't respond and gnome panels are messed up and nautilus can't start
system,gnome,"ls -l not responding, gnome panels messed up, nautilus not starting","check system logs for errors, restart gnome session, reinstall nautilus",medium,now ls -l doesn't respond and gnome panels are messed up and nautilus can't start
user_error,k3b-setup,user unable to find unfsck link,check the documentation or search online for unfsck,low,or is there a link to unfsck? i.e. i know it was mentioned in k3b-setup
user_error,k3b-setup,user unable to find unfsck link,check the documentation or search online for unfsck link,low,or is there a link to unfsck? i.e. i know it was mentioned in k3b-setup
user_error,applications,user confusion,explain the purpose and functionality of the applications,low,what did you do with those applications?
software,iptables script,script not functioning as expected,check script for syntax errors or logical issues,low,"(I use a homebrewed iptables script, so I'm afraid I can't necessarily assist.)"
software,iptables script,script not functioning as expected,check script for syntax errors or logical flaws,low,"(I use a homebrewed iptables script, so I'm afraid I can't necessarily assist.)"
user_error,,user is confused about the status of their applications,inform the user that the applications are still active and running,low,what did you do with those applications?
hardware,power supply,system does not boot,"check power supply, replace if necessary",low,does it work after a reboot?
software hang,application,system hangs or freezes,restart the application or system,low,or gets hung?
,,,,,sure doesn't
kernel issue,kernel,command does not respond,"check for kernel oops messages, restart the system if necessary",critical,"usually if that command doesn't respond, you have a serious problem like a kernel oops"
command_not_responding,ls_command,ls -l /home/lance doesn't respond,run the command as a non-root user or check if there are any issues with the /home/lance directory,low,"i launched them under 'sudo -s' and configured them, or would there be another reason why ls -l /home/lance doesn't respond?"
,,,,,sure doesn't
hardware,power supply,system does not boot,"check power supply, replace if necessary",low,does it work after a reboot?
command_not_responding,ls_command,ls -l /home/lance doesn't respond,run the command as a non-root user or check if there are any issues with the /home/lance directory,low,"i launched them under 'sudo -s' and configured them, or would there be another reason why ls -l /home/lance doesn't respond?"
software hang,application,system hangs or freezes,restart the application or system,low,or gets hung?
kernel issue,kernel,command does not respond,"check for kernel oops messages, restart the system if necessary",critical,"usually if that command doesn't respond, you have a serious problem like a kernel oops"
kernel booting issue,kernel,system hangs or fails to boot,try booting with a different kernel,low,"let me try booting another kernel, brb"
kernel booting issue,kernel,system fails to boot,try booting another kernel,low,"let me try booting another kernel, brb"
software issue,array 4,not functioning as expected,check the logs for errors related to array 4,low,how's array 4 working out?
software issue,array 4,functionality issues,check the logs for errors related to array 4,low,how's array 4 working out?
display,crt,display not working,replace crt,low,"Hoary system itself seems fine, but I can't use the display since the crt is kaput. :)"
display,crt,display not working,replace crt,low,"Hoary system itself seems fine, but I can't use the display since the crt is kaput. :)"
